title,gross_revenue,n_theaters,opening_revenue,release_date,wiki_page,page_created_date
The Nowhere Inn,"$54,094",46,"$19,054",2021-09-17,The_Nowhere_Inn,2020-01-25
My Salinger Year,"$54,730",123,"$28,851",2021-03-05,My_Salinger_Year,2019-05-23
Son,"$55,068",-,-,2021-03-05,Son_(2021_film),2020-08-02
Kurt Vonnegut: Unstuck in Time,"$60,389",69,"$27,427",2021-11-19,Kurt_Vonnegut:_Unstuck_in_Time,2022-05-19
Lansky,"$61,030",49,"$27,474",2021-06-25,Lansky_(2021_film),2020-03-31
Come True,"$62,080",96,"$31,090",2021-03-12,Come_True,2021-01-06
The First Wave,"$62,376",11,"$60,511",2021-11-19,The_First_Wave_(film),2021-06-18
Wife of a Spy,"$69,464",1,"$7,162",2021-09-17,Wife_of_a_Spy,2020-07-31
Hard Luck Love Song,"$69,746",172,"$36,718",2021-10-15,Hard_Luck_Love_Song,2018-09-08
The Killing of Two Lovers,"$71,162",34,"$25,378",2021-05-14,The_Killing_of_Two_Lovers,2020-10-29
Demonic,"$71,334",85,"$40,683",2021-08-20,Demonic_(2021_film),2021-02-26
Summer of 85,"$71,788",9,"$9,390",2021-06-18,Summer_of_85,2019-09-29
Summertime,"$72,012",2,"$21,490",2021-07-09,Summertime_(2020_film),2020-12-25
Bad Luck Banging or Loony Porn,"$72,342",2,"$7,672",2021-11-19,Bad_Luck_Banging_or_Loony_Porn,2021-02-11
Language Lessons,"$73,257",44,"$26,255",2021-09-10,Language_Lessons,2021-02-11
Monster Family 2,"$76,417",97,"$57,501",2021-10-15,Monster_Family_2,2021-10-22
Riders of Justice,"$77,115",17,"$15,441",2021-05-14,Riders_of_Justice,2020-12-24
Undine,"$78,689",56,"$27,065",2021-06-04,Undine_(2020_film),2020-01-29
My Love,"$86,252",25,"$29,432",2021-05-07,My_Love_(2021_film),2021-04-13
Censor,"$90,050",93,"$34,299",2021-06-11,Censor_(2021_film),2021-01-04
Safer at Home,"$95,643",79,"$35,433",2021-02-26,Safer_at_Home,2021-01-16
Tango Shalom,"$102,651",4,"$20,581",2021-09-03,Tango_Shalom,2021-11-21
The Loneliest Whale: The Search for 52,"$107,798",-,"$41,131",2021-07-09,The_Loneliest_Whale:_The_Search_for_52,2021-06-09
Jockey,"$108,678",3,"$2,789",2021-12-29,Jockey_(film),2021-01-29
Small Engine Repair,"$110,995",205,"$72,479",2021-09-10,Small_Engine_Repair_(film),2020-05-30
The Paper Tigers,"$112,691",65,"$46,615",2021-05-07,The_Paper_Tigers,2020-11-22
Gunda,"$115,691",5,"$5,023",2021-04-16,Gunda_(2020_film),2020-08-13
The World to Come,"$116,143",277,"$51,245",2021-02-12,The_World_to_Come,2019-02-07
Walking with Herb,"$120,226",507,"$69,337",2021-05-07,Walking_with_Herb,2020-11-13
The Djinn,"$124,772",41,"$50,312",2021-05-14,The_Djinn,2021-02-10
Swan Song,"$126,110",35,"$26,855",2021-08-06,Swan_Song_(2021_Benjamin_Cleary_film),2020-10-01
Tadap,"$130,934",63,"$56,570",2021-12-03,Tadap_(2021_film),2019-08-07
Six Minutes to Midnight,"$132,500",145,"$51,315",2021-03-26,Six_Minutes_to_Midnight,2018-02-20
No Man's Land,"$139,221",254,"$58,969",2021-01-22,No_Man%27s_Land_(2021_film),2020-02-29
